,index,niveau,niveaunaam,gebiedcodenaam,wijkcode,jaar,Woonoppervlak_0_40,Woonoppervlak_40_60,Woonoppervlak_60_80,Woonoppervlak_80_100,Woonoppervlak_100_plus,Woonoppervlak_onbekend,VCRIMIN_I,Culturele_voorzieningen,Aanbod_basisscholen,Woningdichtheid,Eenouder_huishouden,Eenpersoons_huishouden,Stel_zonder_kind_huishouden,Stel_met_kind_huishouden,overige_huishouden,Corporatiewoningen,Particuliere_huur,Koopwoninging,WOZ_per_M2,index,wijkcode,lon,lat
0,4212,4,Wijk,AA Haarlemmerbuurt,AA,2021,"10,4",29,"25,4","15,5","19,1","0,6",,"7,4","7,4",10558.0,"6,3","59,8","22,8","10,4","0,7","41,4","31,1","27,5",6897.0,21,AA,4.89021995,52.3837291
1,4213,4,Wijk,AB Jordaan,AB,2021,"18,9","36,9","22,9","9,6","11,1","0,6",,"7,6","7,5",15870.0,"4,9","65,6","20,9","7,8","0,8","36,6",39,"24,5",7363.0,23,AB,4.8814382,52.3745526
2,4214,4,Wijk,AC Grachtengordel-West,AC,2021,"9,4","20,2","17,6",13,"38,8",1,,"8,4","7,4",9638.0,"3,5","59,3","26,6",9,"1,5","10,7","50,9","38,4",7773.0,24,AC,4.888214,52.37334925
3,4215,4,Wijk,AD Burgwallen-Nieuwe Zijde,AD,2021,"18,5","28,9","21,9","13,2","14,9","2,6",,8,"6,1",5302.0,"2,6","64,3","27,3",4,"1,8","9,7","72,7","17,6",7090.0,41,AD,4.8971187,52.3749354
4,4216,4,Wijk,AE Burgwallen-Oude Zijde,AE,2021,"14,7","31,8","20,4","12,6","18,1","2,3",,"7,8","6,3",8535.0,"3,6","65,5","24,8","4,2",2,"19,2","63,1","17,7",6379.0,42,AE,4.8976341,52.37229515
5,4217,4,Wijk,AF Nieuwmarkt/Lastage,AF,2021,"9,2","29,7","23,5","17,5","16,9","3,3",,"8,1","7,6",8978.0,"5,6","63,1","22,4","7,9",1,"39,9","32,7","27,4",6655.0,44,AF,4.904438,52.37291
6,4218,4,Wijk,AG Grachtengordel-Zuid,AG,2021,"9,7","19,5","19,3",15,"35,6","0,8",,"8,5","7,2",6735.0,"3,6",58,"26,8","10,1","1,5","5,3","59,6","35,1",7692.0,45,AG,4.8927838,52.3650518
7,4219,4,Wijk,AH De Weteringschans,AH,2021,"15,6",28,"20,1","11,4","24,4","0,5",,"8,5","7,7",8425.0,"3,7","58,5","26,1","10,2","1,5","11,4","53,9","34,7",7199.0,46,AH,4.89192575,52.36205585
8,4220,4,Wijk,AJ Weesperbuurt/Plantage,AJ,2021,13,"27,6","26,8","10,1","21,9","0,6",,"7,9","7,4",5621.0,4,"63,5","22,3",9,"1,2",29,"37,6","33,3",6970.0,47,AJ,4.91176485,52.3644559
9,4221,4,Wijk,AK Oostelijke Eilanden/Kadijken,AK,2021,"13,1","21,4",29,"22,9","13,3","0,4",,"6,6","7,5",7372.0,"6,9","61,9",19,"11,4","0,8","57,1","13,3","29,6",5957.0,48,AK,4.9218291,52.37072065
10,4224,4,Wijk,EA Sloterdijk-West,EA,2021,"2,1","15,6","46,1","18,9","16,9","0,4",,,,204.0,"2,3","42,5",41,"13,5","0,8","4,5","87,7","7,4",6108.0,95,EA,4.85453985,52.39031575
11,4225,4,Wijk,EB Spaarndammerbuurt/Zeeheldenbuurt,EB,2021,"10,9","44,5","21,9","15,2","7,1","0,4",,"6,5","7,4",4611.0,"9,1","59,5","18,9","11,7","0,8","61,3","16,6","22,1",6124.0,96,EB,4.8744225,52.39042765
12,4226,4,Wijk,EC Houthavens,EC,2021,"3,6","12,4","17,4","20,1","46,4","0,1",,"5,7","7,7",4545.0,"4,4","42,1","27,3","25,7","0,5","11,6","32,6","55,8",6279.0,97,EC,4.8803174,52.3937846
13,4227,4,Wijk,ED De Kolenkit,ED,2021,"22,8","26,1","17,1","21,1","12,8",0,,"5,2","6,6",7767.0,"7,6",53,"19,5","18,8","1,1",58,23,19,5139.0,98,ED,4.8413775,52.37864745
14,4228,4,Wijk,EE Landlust,EE,2021,4,"60,1","23,8","6,4","5,7",0,,"6,1","7,3",9492.0,"8,2","51,8","23,5",15,"1,5",42,"30,2","27,8",5795.0,99,EE,4.85425375,52.3798758
15,4229,4,Wijk,EF Erasmuspark,EF,2021,"2,8","66,2","18,5","7,9","4,6",0,,"6,1","6,8",8524.0,"6,5","48,9","30,4","12,9","1,3",14,"43,5","42,5",5880.0,100,EF,4.85118035,52.3762431
16,4230,4,Wijk,EG Centrale Markt,EG,2021,"7,4","15,2","28,3","34,1","14,2","0,7",,"6,8","7,1",2405.0,"9,5","51,7","20,2","18,1","0,5","45,3","17,3","37,3",5767.0,101,EG,4.86567395,52.37904255
17,4231,4,Wijk,EH Staatsliedenbuurt,EH,2021,"19,2","39,3","20,5","14,4","6,3","0,3",,"6,8","7,5",16546.0,"7,4","59,5","21,3","11,1","0,7","46,4","25,3","28,3",6487.0,102,EH,4.875206,52.3808103
18,4232,4,Wijk,EJ Frederik Hendrikbuurt,EJ,2021,"13,5","46,7","22,3","10,7","6,7","0,1",,"6,6","7,5",14340.0,"5,5","62,1","22,2","9,4","0,8","36,1",34,"29,9",6649.0,104,EJ,4.873115,52.37675945
